Date,Home_Away,Opponent,Points_for,Points_against,Record,Conf_Record,Off_Rush_YDS,Off_Rush_TD,Off_Rush_Long,Off_Rec_ATT,Off_Rec_YDS,Off_Rec_TD,Off_Rec_Long,Off_Pass_YDS,Off_Pass_TD,Off_Pass_Long,Solo,Ast,Tot,TFL,TFL_YDS,Sacks,Sack_YDS,FF,FR,INT,Opp_Rush_ATT,Opp_Rush_YDS,Opp_Rush_TD,Opp_Rush_Long,Opp_Rec_ATT,Opp_Rec_YDS,Opp_Rec_TD,Opp_Rec_Long,Opp_Pass_YDS,Opp_Pass_TD,Opp_Pass_Long
11/10/2018,vs,Trine,18,48,7-3,4-3,56,1,20,16,160,2,32,160,2,32,33,26,59,4,17,2,7,0,2,1,48,449,5,83,7,138,2,45,138,2,45
9/2/2017,at,Oberlin,6,24,0-1,0-0,34,0,12,19,146,1,18,146,1,18,66,11,77,2,8,1,7,1,0,0,47,202,1,53,18,192,2,29,192,2,29
9/9/2017,vs,Wheaton,6,58,0-2,0-0,42,0,27,13,106,1,35,106,1,35,38,34,72,2,18,2,18,0,0,0,40,304,5,59,17,212,1,50,212,1,50
9/16/2017,vs,Concordia Chicago,29,41,0-3,0-0,184,0,15,22,277,3,55,277,3,55,43,46,89,8,20,1,8,1,0,1,34,36,1,15,34,371,4,50,371,4,50
9/30/2017,at,Alma,10,30,0-4,0-1,88,0,17,17,117,1,21,117,1,21,40,56,96,2,9,1,2,1,0,1,57,364,4,75,13,109,0,19,109,0,19
10/7/2017,vs,Olivet,6,40,0-5,0-2,103,0,37,17,160,0,31,160,0,31,40,34,74,4,17,3,14,1,1,0,36,107,1,10,23,361,3,75,361,3,75
10/14/2017,at,Trine,7,42,0-6,0-3,102,1,15,20,157,0,27,157,0,27,31,54,85,5,22,1,10,0,0,0,58,371,5,75,4,72,0,36,72,0,36
10/21/2017,vs,Adrian,22,36,0-7,0-4,185,0,45,23,230,2,40,230,2,40,41,32,73,5,8,0,0,3,5,0,49,308,4,66,13,270,1,56,270,1,56
10/28/2017,vs,Hope,0,50,0-8,0-5,19,0,13,17,116,0,23,116,0,23,37,42,79,7,15,0,0,1,1,1,52,309,5,52,15,284,2,48,284,2,48
11/4/2017,at,Rockford,13,6,1-8,0-5,277,1,21,16,101,0,21,101,0,21,45,10,55,6,24,3,21,0,0,2,41,130,0,19,13,149,1,37,149,1,37
11/11/2017,at,Albion,3,24,1-9,0-6,48,0,17,22,139,0,15,139,0,15,52,26,78,6,12,0,0,0,0,0,36,227,0,46,26,219,3,28,219,3,28
9/3/2016,vs,Oberlin,36,29,1-0,0-0,186,1,25,29,409,3,54,409,3,54,71,5,76,12,75,7,65,2,1,1,56,101,0,30,17,347,4,70,347,4,70
9/10/2016,at,Wheaton,6,60,1-1,0-0,49,0,23,18,147,1,19,147,1,19,39,34,73,4,13,1,6,0,0,1,37,254,3,59,22,364,5,51,364,5,51
9/17/2016,at,Rockford,55,19,2-1,0-0,196,2,23,30,401,5,36,401,5,36,31,28,59,3,9,2,7,2,2,0,33,215,1,75,12,137,2,46,137,2,46
10/1/2016,vs,Alma,26,56,2-2,0-1,77,1,30,24,359,2,52,359,2,52,51,14,65,6,25,2,6,1,0,0,46,186,4,35,16,277,4,79,277,4,79
10/8/2016,at,Olivet,6,35,2-3,0-2,-5,1,9,19,247,0,41,247,0,41,42,50,92,7,26,3,13,1,1,0,45,116,2,9,25,260,3,30,260,3,30
10/15/2016,vs,Trine,17,42,2-4,0-3,100,1,17,21,250,1,55,250,1,55,54,4,58,3,8,0,0,0,0,1,45,288,3,70,14,274,3,61,274,3,61
10/22/2016,at,Adrian,13,31,2-5,0-4,35,0,11,18,178,1,41,178,1,41,39,52,91,2,6,0,0,0,0,2,42,151,2,19,21,343,2,49,343,2,49
10/29/2016,at,Hope,6,31,2-6,0-5,104,0,28,18,154,0,35,154,0,35,55,22,77,8,49,2,7,0,0,1,53,303,4,55,15,102,0,32,102,0,32
11/5/2016,vs,Wis. Lutheran,7,29,2-7,0-5,99,1,25,21,216,0,37,216,0,37,46,18,64,7,18,2,7,1,1,1,44,200,2,48,18,243,2,44,243,2,44
11/12/2016,vs,Albion,34,17,3-7,1-5,116,2,40,19,236,3,68,236,3,68,54,22,76,6,24,3,14,0,1,3,35,162,1,37,27,260,1,29,260,1,29
9/5/2015,at,Rose-Hulman,14,29,0-1,0-0,104,0,15,11,99,2,23,99,2,23,65,12,77,8,25,0,0,3,3,0,50,162,2,43,28,294,2,54,294,2,54
9/12/2015,at,Millikin,16,13,1-1,0-0,88,0,15,36,304,1,28,304,1,28,30,30,60,6,8,2,0,1,0,3,35,73,0,14,14,193,0,57,193,0,57
9/19/2015,vs,Concordia (Ill.),61,15,2-1,0-0,271,2,18,24,366,6,40,366,6,40,34,38,72,14,38,5,21,2,3,2,31,32,0,18,19,248,2,91,248,2,91
10/3/2015,at,Benedictine,10,45,2-2,0-0,89,0,18,15,144,0,38,144,0,38,23,64,87,6,10,0,0,1,0,1,46,277,5,35,13,227,1,47,227,1,47
10/10/2015,vs,Albion,40,72,2-3,0-1,101,1,22,20,443,3,71,443,3,71,33,80,113,4,7,1,3,1,1,1,42,303,3,76,34,362,7,64,362,7,64
10/17/2015,at,Alma,27,36,2-4,0-2,54,0,14,19,125,3,17,125,3,17,41,46,87,5,12,1,4,1,1,0,36,137,0,18,27,355,4,70,355,4,70
10/24/2015,vs,Olivet,21,55,2-5,0-3,74,1,30,14,111,2,22,111,2,22,46,30,76,3,7,0,0,0,0,2,60,343,4,16,12,255,4,83,255,4,83
10/31/2015,at,Trine,25,27,2-6,0-4,120,2,23,17,199,1,37,199,1,37,45,38,83,7,31,2,16,1,2,2,47,231,3,45,20,247,1,43,247,1,43
11/7/2015,at,Adrian,14,20,2-7,0-5,10,0,15,24,312,2,91,312,2,91,49,30,79,12,32,3,11,0,0,0,53,204,1,48,8,185,2,67,185,2,67
11/14/2015,vs,Hope,39,31,3-7,1-5,61,0,13,35,342,3,52,342,3,52,41,8,49,10,37,3,20,0,0,4,25,51,0,19,25,330,3,47,330,3,47
